consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria,score_referencia,tipo_cenario,caso_fronteira,caso_raro,outlier_plausivel,lote_geracao
535.670000,False,11,INDUSTRIA,16,EFICIENTE,26,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
308.020000,False,11,CASA,20,MODERADO,50,RARO_EXTREMO,False,True,True,energiai-v2-seed-42-size-5000
195.710000,False,16,APARTAMENTO,1,EFICIENTE,25,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
380.770000,True,16,OUTRO,4,MODERADO,38,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
326.000000,False,28,COMERCIO,2,EFICIENTE,29,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
195.640000,False,5,CASA,1,EFICIENTE,2,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
456.080000,True,25,ESCRITORIO,6,MODERADO,51,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
278.660000,False,7,COMERCIO,7,EFICIENTE,15,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
659.130000,True,31,ESCRITORIO,14,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
312.510000,False,8,COMERCIO,9,EFICIENTE,24,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
239.470000,True,15,APARTAMENTO,2,MODERADO,42,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
219.860000,True,9,APARTAMENTO,2,MODERADO,31,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
406.410000,False,20,CASA,8,INEFICIENTE,67,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
193.800000,False,6,CASA,1,EFICIENTE,3,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
416.790000,False,19,ESCRITORIO,12,MODERADO,51,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
416.600000,False,10,OUTRO,15,MODERADO,48,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
375.660000,True,23,COMERCIO,3,MODERADO,43,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
220.900000,False,9,ESCRITORIO,8,EFICIENTE,15,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
204.680000,False,7,APARTAMENTO,4,EFICIENTE,22,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
196.610000,False,7,APARTAMENTO,5,EFICIENTE,23,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
420.820000,True,20,CASA,6,INEFICIENTE,71,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
381.250000,True,14,CASA,7,MODERADO,60,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
228.080000,False,9,APARTAMENTO,8,MODERADO,40,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
196.070000,False,9,OUTRO,1,EFICIENTE,8,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
414.120000,True,21,CASA,7,INEFICIENTE,75,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
541.820000,True,25,COMERCIO,14,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
398.550000,True,12,CASA,11,INEFICIENTE,72,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
300.600000,False,27,ESCRITORIO,5,EFICIENTE,28,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
278.090000,True,3,OUTRO,1,EFICIENTE,17,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
344.210000,False,21,CASA,5,MODERADO,49,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
418.030000,False,24,ESCRITORIO,9,MODERADO,47,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
879.280000,True,18,INDUSTRIA,15,MODERADO,53,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
281.590000,False,13,APARTAMENTO,9,INEFICIENTE,61,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
485.970000,True,28,COMERCIO,8,INEFICIENTE,79,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
518.020000,True,23,COMERCIO,13,INEFICIENTE,95,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
359.550000,False,18,CASA,6,MODERADO,51,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
236.270000,False,13,CASA,1,EFICIENTE,15,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
310.690000,True,15,CASA,2,MODERADO,38,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
688.020000,True,33,ESCRITORIO,14,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
675.080000,True,33,ESCRITORIO,14,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
282.940000,True,10,APARTAMENTO,7,MODERADO,59,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
185.260000,False,5,APARTAMENTO,5,EFICIENTE,18,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
377.480000,True,18,APARTAMENTO,11,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
389.400000,False,14,CASA,11,INEFICIENTE,65,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
456.720000,True,25,COMERCIO,9,INEFICIENTE,74,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
343.370000,False,13,CASA,9,MODERADO,50,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
671.390000,False,10,INDUSTRIA,19,MODERADO,36,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
210.110000,False,9,APARTAMENTO,5,EFICIENTE,28,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
356.810000,True,7,COMERCIO,10,MODERADO,41,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
530.460000,True,32,ESCRITORIO,9,INEFICIENTE,73,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
380.450000,False,11,COMERCIO,12,MODERADO,45,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
268.790000,False,17,APARTAMENTO,5,MODERADO,52,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
198.380000,False,6,APARTAMENTO,5,EFICIENTE,22,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
231.660000,False,7,APARTAMENTO,11,MODERADO,46,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
403.230000,True,14,CASA,8,INEFICIENTE,67,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
358.370000,True,15,APARTAMENTO,11,INEFICIENTE,99,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
621.050000,False,37,INDUSTRIA,6,EFICIENTE,27,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
834.800000,True,25,INDUSTRIA,12,MODERADO,50,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
294.230000,True,7,APARTAMENTO,11,INEFICIENTE,68,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
251.780000,False,14,CASA,1,EFICIENTE,18,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
346.820000,True,17,APARTAMENTO,7,INEFICIENTE,84,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
270.680000,False,3,CASA,4,EFICIENTE,15,RARO_EXTREMO,False,True,False,energiai-v2-seed-42-size-5000
383.030000,True,25,ESCRITORIO,4,MODERADO,39,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
251.750000,False,9,APARTAMENTO,8,MODERADO,45,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
243.160000,True,10,APARTAMENTO,5,MODERADO,45,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
149.680000,False,3,APARTAMENTO,1,EFICIENTE,0,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
225.630000,False,9,APARTAMENTO,7,MODERADO,37,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
318.930000,True,8,CASA,7,MODERADO,43,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
232.090000,False,7,APARTAMENTO,9,MODERADO,40,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
337.560000,False,20,COMERCIO,4,EFICIENTE,28,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
471.850000,True,29,ESCRITORIO,7,MODERADO,59,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
334.050000,True,22,CASA,2,MODERADO,49,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
360.460000,True,10,CASA,9,MODERADO,57,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
187.520000,False,11,APARTAMENTO,2,EFICIENTE,19,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
341.840000,False,18,APARTAMENTO,10,INEFICIENTE,88,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
799.100000,True,9,ESCRITORIO,10,INEFICIENTE,74,RARO_EXTREMO,False,True,True,energiai-v2-seed-42-size-5000
306.140000,True,4,CASA,9,MODERADO,40,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
298.720000,False,26,ESCRITORIO,4,EFICIENTE,24,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
504.050000,True,26,ESCRITORIO,10,INEFICIENTE,69,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
415.690000,True,11,COMERCIO,13,INEFICIENTE,62,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
423.340000,True,16,CASA,9,INEFICIENTE,76,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
354.820000,True,7,ESCRITORIO,9,MODERADO,36,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
194.450000,False,3,APARTAMENTO,6,EFICIENTE,18,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
297.280000,True,16,APARTAMENTO,6,INEFICIENTE,68,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
273.660000,False,9,CASA,5,EFICIENTE,24,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
519.040000,True,23,OUTRO,8,INEFICIENTE,62,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
419.780000,True,8,COMERCIO,14,INEFICIENTE,61,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
306.090000,True,9,APARTAMENTO,10,INEFICIENTE,72,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
398.720000,False,33,ESCRITORIO,7,MODERADO,46,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
544.150000,True,27,COMERCIO,14,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
239.940000,True,11,APARTAMENTO,3,MODERADO,40,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
371.660000,False,11,COMERCIO,13,MODERADO,46,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
324.810000,True,10,APARTAMENTO,11,INEFICIENTE,81,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
493.950000,True,19,CASA,12,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
193.920000,False,10,APARTAMENTO,2,EFICIENTE,19,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
343.240000,False,9,INDUSTRIA,6,EFICIENTE,4,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
344.760000,True,16,APARTAMENTO,9,INEFICIENTE,90,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
382.990000,True,18,APARTAMENTO,10,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
638.890000,False,27,INDUSTRIA,10,EFICIENTE,30,FRONTEIRA,True,False,False,energiai-v2-seed-42-size-5000
339.080000,False,22,CASA,4,MODERADO,47,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
323.530000,False,18,APARTAMENTO,8,INEFICIENTE,76,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
700.000000,True,35,ESCRITORIO,14,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
424.050000,True,16,CASA,8,INEFICIENTE,73,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
238.460000,False,4,CASA,7,EFICIENTE,18,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
288.540000,False,13,CASA,6,MODERADO,34,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
313.070000,True,7,CASA,6,MODERADO,38,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
398.950000,False,13,COMERCIO,13,MODERADO,53,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
173.830000,False,12,APARTAMENTO,1,EFICIENTE,16,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
267.390000,False,8,OUTRO,4,EFICIENTE,16,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
292.600000,False,14,APARTAMENTO,8,INEFICIENTE,62,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
338.380000,True,18,APARTAMENTO,7,INEFICIENTE,84,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
390.000000,True,17,APARTAMENTO,11,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
448.700000,True,16,CASA,12,INEFICIENTE,90,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
285.810000,False,4,OUTRO,12,EFICIENTE,27,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
448.380000,True,11,ESCRITORIO,14,INEFICIENTE,61,FRONTEIRA,True,False,False,energiai-v2-seed-42-size-5000
413.840000,True,17,CASA,20,INEFICIENTE,86,RARO_EXTREMO,False,True,True,energiai-v2-seed-42-size-5000
408.340000,True,12,CASA,12,INEFICIENTE,77,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
221.850000,False,18,APARTAMENTO,3,MODERADO,38,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
403.390000,True,9,CASA,12,INEFICIENTE,71,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
154.640000,False,3,APARTAMENTO,3,EFICIENTE,5,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
699.480000,False,19,INDUSTRIA,15,MODERADO,37,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
466.380000,False,27,COMERCIO,11,INEFICIENTE,75,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
388.990000,True,8,CASA,12,INEFICIENTE,67,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
240.380000,False,16,ESCRITORIO,3,EFICIENTE,11,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
157.660000,False,3,APARTAMENTO,4,EFICIENTE,8,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
320.150000,False,17,ESCRITORIO,7,EFICIENTE,27,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
279.640000,False,12,APARTAMENTO,10,INEFICIENTE,63,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
284.250000,False,9,COMERCIO,4,EFICIENTE,11,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
215.110000,False,7,CASA,3,EFICIENTE,10,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
465.450000,False,26,COMERCIO,12,INEFICIENTE,77,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
512.500000,True,27,COMERCIO,12,INEFICIENTE,95,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
350.580000,False,21,CASA,6,MODERADO,53,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
455.020000,True,25,COMERCIO,8,INEFICIENTE,71,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
856.750000,True,4,OUTRO,12,INEFICIENTE,76,RARO_EXTREMO,False,True,True,energiai-v2-seed-42-size-5000
204.870000,False,4,APARTAMENTO,11,MODERADO,34,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
807.160000,False,31,INDUSTRIA,14,MODERADO,47,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
373.320000,False,10,INDUSTRIA,6,EFICIENTE,5,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
390.950000,False,16,CASA,12,INEFICIENTE,71,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
369.170000,True,16,APARTAMENTO,11,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
419.370000,False,20,COMERCIO,10,MODERADO,56,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
272.260000,True,15,APARTAMENTO,4,MODERADO,55,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
506.730000,True,24,COMERCIO,12,INEFICIENTE,91,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
196.950000,False,5,APARTAMENTO,8,EFICIENTE,27,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
565.510000,True,30,ESCRITORIO,11,INEFICIENTE,82,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
322.160000,False,42,COMERCIO,3,MODERADO,31,RARO_EXTREMO,False,True,True,energiai-v2-seed-42-size-5000
222.780000,False,7,ESCRITORIO,4,EFICIENTE,5,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
236.650000,True,5,APARTAMENTO,8,MODERADO,44,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
249.890000,False,16,CASA,2,EFICIENTE,23,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
176.460000,False,4,APARTAMENTO,4,EFICIENTE,12,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
348.210000,False,16,COMERCIO,8,MODERADO,36,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
310.990000,False,10,CASA,9,MODERADO,41,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
413.290000,True,26,OUTRO,1,MODERADO,42,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
240.030000,False,8,APARTAMENTO,9,MODERADO,44,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
305.640000,False,16,APARTAMENTO,8,INEFICIENTE,68,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
236.550000,True,6,CASA,2,EFICIENTE,18,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
221.540000,False,8,ESCRITORIO,5,EFICIENTE,8,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
208.970000,False,7,APARTAMENTO,4,EFICIENTE,22,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
268.810000,True,14,APARTAMENTO,4,MODERADO,53,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
505.590000,True,13,ESCRITORIO,13,INEFICIENTE,66,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
552.820000,True,20,OUTRO,10,INEFICIENTE,67,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
325.190000,False,13,COMERCIO,6,EFICIENTE,25,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
218.870000,False,7,CASA,4,EFICIENTE,13,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
228.000000,True,11,APARTAMENTO,2,MODERADO,35,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
251.520000,True,12,APARTAMENTO,5,MODERADO,50,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
179.640000,False,3,APARTAMENTO,9,EFICIENTE,23,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
245.960000,False,10,CASA,5,EFICIENTE,22,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
294.740000,True,13,APARTAMENTO,7,INEFICIENTE,66,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
209.210000,False,10,APARTAMENTO,5,EFICIENTE,30,FRONTEIRA,True,False,False,energiai-v2-seed-42-size-5000
434.980000,True,14,CASA,11,INEFICIENTE,81,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
426.750000,False,9,INDUSTRIA,12,EFICIENTE,15,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
338.540000,True,8,OUTRO,4,EFICIENTE,29,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
231.210000,False,5,APARTAMENTO,19,MODERADO,42,RARO_EXTREMO,False,True,True,energiai-v2-seed-42-size-5000
764.560000,True,24,INDUSTRIA,8,MODERADO,39,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
222.210000,False,11,APARTAMENTO,4,MODERADO,31,FRONTEIRA,True,False,False,energiai-v2-seed-42-size-5000
328.790000,True,13,CASA,20,INEFICIENTE,65,RARO_EXTREMO,False,True,True,energiai-v2-seed-42-size-5000
495.980000,True,21,CASA,9,INEFICIENTE,95,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
352.860000,True,20,CASA,3,MODERADO,52,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
204.940000,False,12,APARTAMENTO,3,EFICIENTE,26,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
235.390000,False,13,OUTRO,4,EFICIENTE,18,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
301.680000,False,25,COMERCIO,2,EFICIENTE,24,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
268.440000,False,21,CASA,2,MODERADO,31,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
566.280000,False,35,ESCRITORIO,12,INEFICIENTE,81,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
164.080000,False,4,APARTAMENTO,3,EFICIENTE,8,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
214.290000,False,11,APARTAMENTO,5,MODERADO,32,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
263.890000,False,8,APARTAMENTO,11,MODERADO,55,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
504.110000,True,22,CASA,11,INEFICIENTE,100,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
461.530000,True,17,CASA,12,INEFICIENTE,94,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
300.010000,False,9,COMERCIO,7,EFICIENTE,19,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
430.720000,True,17,CASA,11,INEFICIENTE,85,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
335.100000,True,7,CASA,11,MODERADO,54,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
661.640000,True,21,OUTRO,15,INEFICIENTE,88,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
254.170000,False,8,CASA,3,EFICIENTE,16,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
386.950000,False,24,OUTRO,5,MODERADO,38,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
347.340000,False,14,CASA,10,MODERADO,55,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
308.850000,False,22,CASA,3,MODERADO,40,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
670.140000,True,14,OUTRO,16,INEFICIENTE,84,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
302.330000,True,12,ESCRITORIO,3,EFICIENTE,21,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
399.080000,True,12,CASA,10,INEFICIENTE,69,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
588.420000,True,24,ESCRITORIO,14,INEFICIENTE,89,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
295.360000,True,15,APARTAMENTO,7,INEFICIENTE,70,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
210.440000,False,2,OUTRO,6,EFICIENTE,11,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
296.470000,True,11,APARTAMENTO,8,INEFICIENTE,67,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
245.060000,False,4,CASA,10,EFICIENTE,25,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
640.400000,False,42,INDUSTRIA,5,EFICIENTE,29,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
217.400000,False,3,APARTAMENTO,10,MODERADO,32,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
314.640000,True,10,CASA,5,MODERADO,40,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
237.750000,False,7,CASA,6,EFICIENTE,19,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
338.500000,True,15,COMERCIO,4,MODERADO,33,TIPICO,False,False,False,energiai-v2-seed-42-size-5000
